( Z, Y, Age) = 0.007549   0.249   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -1.50  0.1221E+03   2.087      2.50  0.9988E+04   3.999     -1.50  0.9588E+02   1.982
 -1.75  0.9055E+02   1.957      2.25  0.7004E+04   3.845     -1.75  0.5715E+02   1.757
 -2.00  0.7337E+02   1.866      2.00  0.5829E+04   3.766     -2.00  0.5396E+02   1.732
 -2.25  0.5872E+02   1.769      1.75  0.3736E+04   3.572     -2.25  0.1799E+02   1.255
 -2.50  0.4876E+02   1.688      1.50  0.4029E+04   3.605     -2.50  0.5297E+00  -0.276
 -2.75  0.3936E+02   1.595      1.25  0.3547E+04   3.550     -2.75  0.0000E+00   0.000
 -3.00  0.3677E+02   1.566      1.00  0.3633E+04   3.560     -3.00  0.0000E+00   0.000
 -3.25  0.3052E+02   1.485      0.75  0.3242E+04   3.511     -3.25  0.0000E+00   0.000
 -3.50  0.2774E+02   1.443      0.50  0.3335E+04   3.523     -3.50  0.0000E+00   0.000
 -3.75  0.2201E+02   1.343      0.25  0.1083E+04   3.035     -3.75  0.0000E+00   0.000
 -4.00  0.1146E+02   1.059      0.00  0.2891E+03   2.461     -4.00  0.0000E+00   0.000
 -4.25  0.1121E+02   1.049     -0.25  0.4374E+03   2.641     -4.25  0.0000E+00   0.000
 -4.50  0.1181E+02   1.072     -0.50  0.3277E+03   2.515     -4.50  0.0000E+00   0.000
 -4.75  0.1155E+02   1.063     -0.75  0.2283E+03   2.359     -4.75  0.0000E+00   0.000
 -5.00  0.9338E+01   0.970     -1.00  0.1445E+03   2.160     -5.00  0.0000E+00   0.000
 -5.25  0.4636E+01   0.666     -1.25  0.1107E+03   2.044     -5.25  0.0000E+00   0.000
 -5.50  0.1264E-01  -1.898     -1.50  0.9944E+02   1.998     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.6577E+02   1.818     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.5909E+02   1.771     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.2765E+02   1.442     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.4542E+01   0.657     -6.50  0.0000E+00   0.000
